MF;abpcode;scientificName;taxonRank;scientificName_GBIF;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship;establishmentMeans;Ind.NonInd;trophic
92;A01237;Psyllipsocus ramburii Selys-Longchamps, 1872;species;Psyllipsocus ramburii Selys-Longchamps, 1872;Animalia;Arthropoda;Insecta;Psocodea;Psyllipsocidae;Psyllipsocus;ramburii;NA;Selys-Longchamps, 1872;I;NonInd;S
93;NA;Linyphiidae sp.;family;NA;Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Gen.;sp.;NA;NA;Indeterminate;Indeterminate;P
94;A00350;Anommatus duodecimstriatus (Müller, 1821);species;Anommatus duodecimstriatus (Müller, 1821);Animalia;Arthropoda;Insecta;Coleoptera;Teredidae;Anommatus;duodecimstriatus;NA;(Müller, 1821);I;NonInd;P
95;NA;Scoparia sp.;genus;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Scoparia;sp.;NA;NA;Indeterminate;Indeterminate;H
96;A01778;Oinophila v-flava (Haworth, 1828);species;Oinophila v-flava (Haworth, 1828);Animalia;Arthropoda;Insecta;Lepidoptera;Tineidae;Oinophila;v-flava;NA;(Haworth, 1828);I;NonInd;H
98;NA;Placonotus sp.;genus;NA;Animalia;Arthropoda;Insecta;Coleoptera;Laemophloeidae;Placonotus;sp.;NA;NA;N;Ind;P
100;NA;Scoparia sp.;genus;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Scoparia;sp.;NA;NA;E;Ind;H
101;A01342;Geotomus punctulatus (A. Costa, 1847);species;Geotomus punctulatus (A.Costa, 1847);Animalia;Arthropoda;Insecta;Hemiptera;Cydnidae;Geotomus;punctulatus;NA;(A. Costa, 1847);N;Ind;H
102;A00513;Pseudophloeophagus tenax borgesi Stüben, 2022;subspecies;Pseudophloeophagus tenax T.V.Wollaston, 1873;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Pseudophloeophagus;tenax;borgesi;Stüben, 2022;E;Ind;H
103;A00906;Ephippiochthonius tetrachelatus (Preyssler, 1790);species;Ephippiochthonius tetrachelatus (Preyssler, 1790);Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Chthoniidae;Ephippiochthonius;tetrachelatus;NA;(Preyssler, 1790);I;NonInd;P
105;A01702;Autographa gamma (Linnaeus, 1758);species;Autographa gamma (Linnaeus, 1758);Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;gamma;NA;(Linnaeus, 1758);N;Ind;H
106;A01478;Aphis craccivora Koch, 1854;species;Aphis loti Kaltenbach, 1862;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Aphis;craccivora;NA;Koch, 1854;N;Ind;H
107;A00393;Atlantocis gillerforsi Israelson, 1985;species;Atlantocis gillerforsi Israelson, 1985;Animalia;Arthropoda;Insecta;Coleoptera;Ciidae;Atlantocis;gillerforsi;NA;Israelson, 1985;E;Ind;F
108;A00320;Cryptamorpha desjardinsii (Guérin-Méneville, 1844);species;Cryptamorpha desjardinsi (Guérin-Méneville, 1844);Animalia;Arthropoda;Insecta;Coleoptera;Silvanidae;Cryptamorpha;desjardinsii;NA;(Guérin-Méneville, 1844);I;NonInd;P
110;NA;Cryptolestes sp.;genus;NA;Animalia;Arthropoda;Insecta;Coleoptera;Laemophloeidae;Cryptolestes;sp.;NA;NA;N;Ind;P
111;A01215;Ectopsocus pumilis (Banks, 1920);species;Ectopsocus pumilis (Banks, 1920);Animalia;Arthropoda;Insecta;Psocodea;Ectopsocidae;Ectopsocus;pumilis;NA;(Banks, 1920);I;NonInd;S
113;A00405;Typhaea stercorea (Linnaeus, 1758);species;Typhaea stercorea (Linnaeus, 1758);Animalia;Arthropoda;Insecta;Coleoptera;Mycetophagidae;Typhaea;stercorea;NA;(Linnaeus, 1758);I;NonInd;F
114;NA;Aphididae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Gen.;sp.;NA;NA;Indeterminate;Indeterminate;H
116;A01765;Scoparia coecimaculalis Warren, 1905;species;Scoparia coecimaculalis Warren, 1905;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Scoparia;coecimaculalis;NA;Warren, 1905;E;Ind;H
117;A00640;Lathys dentichelis (Simon, 1883);species;Lathys dentichelis (Simon, 1883);Animalia;Arthropoda;Arachnida;Araneae;Dictynidae;Lathys;dentichelis;NA;(Simon, 1883);N;Ind;P
118;A01358;Scolopostethus decoratus (Hahn, 1833);species;Scolopostethus thomsoni Reuter, 1874;Animalia;Arthropoda;Insecta;Hemiptera;Rhyparochromidae;Scolopostethus;decoratus;NA;(Hahn, 1833);N;Ind;H
119;NA;Coccidae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Coccidae;Gen.;sp.;NA;NA;I;NonInd;H
120;A00524;Coccotrypes carpophagus (Hornung, 1842);species;Coccotrypes carpophagus Wood & Bright, 1992;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Coccotrypes;carpophagus;NA;(Hornung, 1842);I;NonInd;H
121;A01214;Ectopsocus briggsi McLachlan, 1899;species;Ectopsocus briggsi McLachlan, 1899;Animalia;Arthropoda;Insecta;Psocodea;Ectopsocidae;Ectopsocus;briggsi;NA;McLachlan, 1899;I;NonInd;S
122;A00655;Clubiona terrestris Westring, 1851;species;Clubiona terrestris Westring, 1851;Animalia;Arthropoda;Arachnida;Araneae;Clubionidae;Clubiona;terrestris;NA;Westring, 1851;I;NonInd;P
123;A01155;Gryllus bimaculatus De Geer, 1773;species;Gryllus bimaculatus De Geer, 1773;Animalia;Arthropoda;Insecta;Orthoptera;Gryllidae;Gryllus;bimaculatus;NA;De Geer, 1773;I;NonInd;S
124;A01328;Cyphopterum adscendens (Herrich-Schäffer, 1835);species;Cyphopterum adscendens (Herrich-Schäffer, 1835);Animalia;Arthropoda;Insecta;Hemiptera;Flatidae;Cyphopterum;adscendens;NA;(Herrich-Schäffer, 1835);N;Ind;H
126;A01703;Chrysodeixis chalcites (Esper, 1789);species;Chrysodeixis chalcites (Esper, 1789);Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Chrysodeixis;chalcites;NA;(Esper, 1789);N;Ind;H
127;A00635;Steatoda grossa (C. L. Koch, 1838);species;Steatoda grossa (C.L.Koch, 1838);Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Steatoda;grossa;NA;(C. L. Koch, 1838);I;NonInd;P
128;A00511;Pseudocaulotrupis parvus (Israelson, 1985);species;Pseudocaulotrupis parvus;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Pseudocaulotrupis;parvus;NA;(Israelson, 1985);E;Ind;H
130;A01677;Brachmia infuscatella Rebel, 1940;species;Brachmia infuscatella Rebel, 1940;Animalia;Arthropoda;Insecta;Lepidoptera;Gelechiidae;Brachmia;infuscatella;NA;Rebel, 1940;E;Ind;H
132;NA;Coccidae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Coccidae;Gen.;sp.;NA;NA;I;NonInd;H
133;A00570;Metellina merianae (Scopoli, 1763);species;Metellina merianae (Scopoli, 1763);Animalia;Arthropoda;Arachnida;Araneae;Tetragnathidae;Metellina;merianae;NA;(Scopoli, 1763);I;NonInd;P
134;A00577;Gibbaranea occidentalis Wunderlich, 1989;species;Gibbaranea occidentalis Wunderlich, 1989;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Gibbaranea;occidentalis;NA;Wunderlich, 1989;E;Ind;P
135;A01267;Nesothrips propinquus (Bagnall, 1916);species;Nesothrips propinquus (Bagnall, 1916);Animalia;Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Nesothrips;propinquus;NA;(Bagnall, 1916);I;NonInd;H
136;A00243;Athous azoricus Platia & Gudenzi, 2002;species;Athous azoricus Platia & Gudenzi, 2002;Animalia;Arthropoda;Insecta;Coleoptera;Elateridae;Athous;azoricus;NA;Platia & Gudenzi, 2002;E;Ind;H
137;A01374;Pinalitus oromii J. Ribes, 1992;species;Pinalitus oromii Ribes, 1992;Animalia;Arthropoda;Insecta;Hemiptera;Miridae;Pinalitus;oromii;NA;J. Ribes, 1992;E;Ind;H
138;A00242;Athous pomboi Platia & Borges, 2002;species;Athous pomboi Platia & Borges, 2002;Animalia;Arthropoda;Insecta;Coleoptera;Elateridae;Athous;pomboi;NA;Platia & Borges, 2002;E;Ind;H
139;A02551;Creophilus maxillosus maxillosus (Linnaeus, 1758);subspecies;Creophilus maxillosus maxillosus;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Creophilus;maxillosus;maxillosus;(Linnaeus, 1758);Indeterminate;Indeterminate;P
140;A00621;Ero furcata (Villers, 1789);species;Ero furcata (Villers, 1789);Animalia;Arthropoda;Arachnida;Araneae;Mimetidae;Ero;furcata;NA;(Villers, 1789);I;NonInd;P
